,reviews
0,"If to say in a nutshell, product is MORE THAN EXCELLENT.My experience say that many global brands maintains focus on their product but the box/packaging in which it is being rolled out from the manufacturing unit may not have the similar gauge of quality standard or same philosophy in making.  But, my experience in regard to ""Apple iPhone 4S"" is different.  Apple quality standards are very clear and much impressive as the box in which it was rolled out maintains the philosophy on par with the product.  IT IS GREAT. Really it is very difficult to throw away the box in dust bin.  Thanks for Apple philosophy.Coming to product, the mobile phone is simply lovable and any attempt to compare its quality may become futile exercise.  It has very strong points : Built -- This 140 gram mobile comes with incomparable built quality which is rated 100 for 100.  The built is so solid for looks and strong in reality.  Design --  Design is simply beautiful and scented with classic look by providing buttons for volume and ringer features.  Operating System -- Though a little bit time is required to understand the iOS, experience say that it is flawless, hang-free and more reliable. Display -- Though latest versions are technically superior than the display what provided in 4S i.e., 960x640-pixel resolution at 326 ppi, never this specification caused in opinion of older version or dissatisfaction. Hence, display quality is excellent.  Camera -- Quality of 8 mega pixel camera in real terms is amazing and maintains edge over many of latest versions. Truly unbelievable.  Sound -- Really great.  In a single sentence, my feel is that quality lovers have to desist themselves from addicting its quality. No quality is in its vicinity. Overall experience -- GREAT.On the other-hand, the mobile need everyday power charge for moderate usage. Of course, the plus point is that the heat experience on long use, which means continuous use for hour/s, is almost nil.The gadget is simply the replica of Apple's love towards its customer community.  I thank seller Cloudtail and Amazon for bringing this wonderful product."
1,"Ordered this product on 8th of July and I received it on 9th. Here are the pros and cons-Pros:1. Screen clarity is awesome.2. Superb call quality, Camera and Video Camera.3. Good Battery backup (Full charge almost comes till night)Cons:1. Phone starts heating after a few minutes of browsing, chatting or Internet usage (Don't Know whether its a software problem or hardware problem)2. Usable memory is about 5GB. Which is about OK for a 8GB phone.Overall I am very satisfied with the phone barring the heating problem."
2,"Pros : touch is great, phone response time is superb due to underlying OS.IPhone is much secure as compared to other phones as it will not allow unwanted malware or application getting installed and doing away with your data.Battery backup us good.Cons : The only issue which I faced in iPhone 4s us that when someone calls me , it says your phone is switched off, don't know if its a technical glitch.As a workaround, I have to restart or change it to aeroplane mode to normal mode and vice versa. My iPhone version is upgraded to IOS 9.1 but the phone is switched off issue still remains to bother me. My friend also have iPhone 4s and he is too facing the similar issue.8GB internal storage fills up very fast if you take few  videos only."
3,Can be A very good gifts to older peoples.... because They don't need much memory space..... Phone is very fast... Thanks to apple's high optimized OS..... look and feel is very rich..... Camera and video recording is superb.... With Vlc player app you can play any kind of videos..... Simply love it......
4,"Buy, if your Budget is below 13K.I am using the IPhone 4s for more than 10 months now, & i feel that if you are on tight budget & want to experience the IOS, then go for IPhone4s. (Note: If you could Spend little more for around 20K, then go for IPhone 5s).Pros: Great IOS, Superb Display, Easily 1 Hand fit, Gr8 Camera, Hardware quality top notch, Apple after sale service.Cons: IOS is slow & Hangs, as IPhone 4s is 5 years older phone; 3.5 inch screen size too small for 2016; Poor battery life, & most importantly storage is very very low (If you r planning to buy any IPhone, go for 64GB atleast).Overall, i am satisfied with the product, as this is my first IPhone :). As I said, if you r tight on Budget for 13K & want to buy IPhone, go for it, otherwise go for IPhone 6s or IPhone SE.Note: Apple has discontinued the production of IPhone 4s. So, I am not sure that the IPhone 4s will get IOS 10 update.So, who should buy this product.It's for the Apple fan, for those entering in the Apple Eco-system for the first time and offcourse bored with Android or windows.If you want value for money irrespective of OS, then go with Android."
5,"This phone has problems with the signal reception.Even when other phones are showing good signals , this phone is showing No Service coverage. I cannot use this phone at home, with the doors closed, even though my house is just 400m from the tower. I am facing lot of problems becoz i can't use this phone at home.Even when I am keeping this phone in my pants pocket, it is out of coverage ,when .I am in the heart of the city. I have taken this phone with the Apple Service Centre, but no improvements, still the issue persists..So better think before buying this phone"
6,"It was a wonderful feeling to have my first IPhone. To inform everybody I have used Antroid and Windows before. My previous handset was Lg Optimus L7 . Truely speaking IPhone/ iOS is in no comparison with Antroid and Windows. I was sick and tierd of Antriod handset frequently getting hanged and automatically running slow after 6 months of purchase. Specially Sumsung Grand and those mid range Antroid devices. I am using now IPhone 4S for almost one month and I have purchased it from Amazon at Rs 23000. Amazon provided delivery within 2 days in Kolkata.Excellent display,butter smooth, no hanging promlem, hd 8 mp Camera and last not the least very stylish and executive build quality not like those plastic crap Antroid devices even if you pay 40000 bugs of it. Go for Apple !"
7,Very good phone. iOS does not upgrade more than 9. But really nice for the time when it was released.
8,"Awesome phone at compare android and windows, only battery backup is low , but battery is good compare with android, I using this phone last 6 month , good phone at good price,  This phone run fast compare with android ,  Siri is very helping software because I only say and all command automatically done by Siri.  iPhone software Is very secured sending activities. , apple provide many sensor in this phone, others brand no have any function and software.  This brands is so good .  At reasonable price"
9,"Iphone 4S is good but ROM size is too low. why means they giving 8 GB of memory, in that 2.5 GB go for os and other apps take 4.5 GB for memory, balance you have near by 1 gb if you add some songs and viedos in itunes means entire 8GB gone. then you mobile wont work properly.so if you planned to buy iphone you must go with 16GB min memory.other then that, phone is ultimate................ every thing is super, its iphone 4s so SIRI is inbulit.if u brought iphone u came to know about SIRI. SIRI is chance less....................."
10,"I  got it  before  the  estimated date. It  was  so  quick.  The  phone  is  original. .I  checked  with  iTunes. .Apple id.  So, overall  it is  good  in  the  price  range.  Battery charging it  does  get  a  bit  heated. .but  so  did  my  previous  android.  I  give  it  4 stars.  I  am  happy  with  the  iphone."
11,"1 of the speaker is not working, maybe its a refurbished phone. Its alright for the pricing and to get the feel of the iphone. I do not want to go through the hurdles of getting it exchanged and all, so using it the way i received it. Amazon will be happy with the customers like me, for not troubling them for any small faults in the product."
12,"It's been 1.5 years now that I'm using this phone. It's nice. Got at a deal price here. Awesome and genuine. No complaints about the seller cloudtail or Amazon. This is the second iPhone I've bought from this seller and both are great. Happy buyer here.Regarding Apple products, close your eyes and buy. They are expensive but it's worth it when it comes to performance n is classy too. Cheers!"
13,"I bought an iPhone 4s White, 8GB  through amazon On 31/12/2014 after I got the phone two times were struggling to start with the screen unlock function and usage of the full charged battery is only less than 3 hrs that means battery is draining so fast, so please do the needful help of replacement this phone for me."
14,"I am regular customer on Amazon, I purchased a iPhone 4s 8GB after 15 days I came to know that one side speaker is not working also the return policy is expired now there no option to change/ replace the item. No doubt Apple is world class phone but Amazon should think on my case to replaced with new one since its defective. If not this is my last shopping on Amazon.in."
15,Nice Phone .Using for last 4 years .
16,"One and a half year and having issues with voice reception although it is used by my mother so no that heavy form of usage, still issues in reception airtel is the service provider in patna"
17,i purchase these for my comfort and other companies give smartphone on big display so i can't take in pocket and comfort for call.it's display is normal and total body is steel so no worry for broken any damage.and u all know about amazon it's give customer best deal for prize so i purchase these on amazon.
18,Ok
19,I reviewed after 4 years usage. look like new..
20,"Wow the phone is juz sturdy metal loaded with ios 8.3 with update ready to 8.4, overall performance is good though only 4.5 gb user mem is available for use. Got within 3 days in kerala. Best device for gifting some1 u value the most."
21,"somehow I prefer my Lumia phone. I can do so much more with it. Maybe with time I will get used to an Apple.Transferring contacts etc from a windows phone possible but numbers ended up garbled. Though I could still dial, sms etc with the garbled numbers. I just could not figure out the exact number."
22,What to say about apple...Its a well known brand. And the good thing is that apple used to updates its phones with latest IOS. Phone is working flawless. Games are running smoothly. Camera (8 MP) picture quality is nice even in night pictures.
23,Works fine with iOS 7 but hang a lot with iOS 8&9With 8gb you only get around 5 gb of memory which is insufficientBattery backup is not goodBut it's a durable phoneI face dropped it a couple of times but it's working fine not even a hairline scratch
24,"If you are looking for a simple and majestic phone,this is it.Awesome looks,easy to use interface,excellent camera and the most important thing-APPLE.Everything is as good as its price , but the only thing that hurts is the internal memory which is approx 5.5 GB in the beginning.In case that doesn't bother you,just go for it."
25,"I thought it would be a fake, but came out to be a Original iPhone, Amazon was quick to deliver though having used it for a while now, the only drawback is the battery life, hardly stays up for 3 to 4 hrs. with wifi it drains up in 2 hrs flat. Feels like it is a paper weight now."
26,"At first I was not sure to buy this phone or not seeing the other reviews..but now I'm happy that I bought it!! The battery does not drain too fast compared to other gadgets I've used,the phone's look is classy...it's really awesome!! Love it!! Yes it does heat up and I'm ok with it"
27,"I bought this in the month of October, a week after I saw the phone in hung state after I got up in the morning, It continued to happen though the phone is not used much with apps. I bought this for my Mom, she uses it only for Phone calls though it hangs. 2 days ago,  I found charger not working and used another charger of our iPhone 4s. But now the problem seems to be with phone charging pin. I'm not sure what to do... Totally crap one"
28,Good
29,"Just one word... terrific phone ..never experienced this amazing technology /..... first time iphone user ...this phone gives u world class feeling and ex...I just love it ...but just one thing is missing that is my warranty bill . I did not recieve purchase reciept to claim the warranty .someone please help m,e with this."
30,The price was very competative.. and the phone was deliver in 2 days on normal delivery. The phone was brand new with no issue.. the ios was 8.1. All accessiories was in good conditions.
31,Awesome
32,"1) The iphone supplied is required to charge twice a day, which is abonormal for a new phone.2) The video is not stable and given shaky pictures when enabling face-time.3) Phone gets warmer and hotter just after 10-15 minutes of talk time."
33,"Product turned out to be as expected, quick delivery, was kept informed of the status, absolute clarity about pricing and no surprises encountered. A smooth experience, would recommend to all"
34,"Awesome product,, I was unsure whether to order online for a expensive phone online or should I go to maple directly ,,,However very happy to get a genuine apple product online"
35,"The phone has stopped working properly... N I feel that it's a refurbished phone, it's battery back is is very low"
36,"Good phone only mad of iPhone buyers will buy this, present now we are getting ₹5k only 4G, think before buying"
37,"It my first buy of any Apple product and I am impressed. After using Android based phones, I can surely say that using iOS is a different experience. The build quality is too good for the price I paid."
38,"Great services by Amazon by one day delivery. New company sealed product.I register to my iPhone ,Apple get one year warranty .but the main problem is battery backup get 6 or 7 hours mixed use."
39,"Great device, never hangs, amazing resolution & picture quality, strong body, perfect size for small or big hands alike !!!!"
40,Very much satisfied with the product. Far better phone than the other brands available in the market.Buy it if the prixe is not a matter and feel the experience. The product was delivered within 3working days. So satisfied with delivery also.
41,Iphone 4s rocks  .....but the Delivery was pathetic ARAMEX the worst Logistics I have ever seen finally after waiting for a long time I myself asking for my package but their Response was even worse.But I am happy with my Iphone .....
42,"15 days back i bought this phone on amazon. After using for some days, i found a problem in Camera of this phone. Some time panaroma mode doesn't work, some time Phone doesn't allow to save the edited photos, OR some time even Camera itself is not working."
43,Great Deal got from amazon @ amazing price and delivery commitment is awesome. If online shopping need to be done in future i will definitely for for amazon.in and always recommend to all my friends and relatives.
44,Was apprehensive about buying a phone like the iPhone online. However the experience has been great and the phone works just as any from the Apple store would.
45,Good phone
46,Got delivered in 1 day.(without even opting for it) packing of product should have been more better.rest every thing was gud
47,Only one drawback ie abysmally low memory but i purchased it for my mom and she's very happy using it. ios is very intuitive and easy to use.
48,"Awesome Mobile, sorry for delay Review"
49,Waste of money & price was too high
50,Nice product working fine since 4 years
51,good phone but battery life very poor..i am getting average 5hours with 3g
52,"Horrible product, its quite sad to see amazon selling this product on their website. The OS hangs, you can't pick calls often and there are several OS issues. Great phone otherwise, avoid this seller!"
53,"Very good product, Using this for last 5 months, it is working good. Very good service by Amazon."
54,"Iphone is getting too hot even in standby mode, Battery drains to quickly.While location services are on its getting Bizzare hot. If location services are on and you attend phone calls of 10-15 minutes then during last few minutes its impossible to tolerate heat near ears."
55,All good as expected nice packing but looks like opened before and then packed but its performing well in normal use not a high end performer
56,"Got my iPhone 4s within 3 days from Amazon. It was factory sealed original iPhone 4s, manufactured in March 2015. Any micro-sim card works in it. Superb camera and smartphone experiance. It's an Apple guys! Go for it!"
57,I am very satisfied with the Iphone functionality. Camera and Video is best but audio Quality is not Best.You can hear better in upgraded versions.
58,"I like apple packing. And the 1 thing i regret is like i had purchased it in INR 18500, and 3 days later the price decreased by 500 and i found the same phone on 18000 3 days later.I cried a lot"
59,I had purchased this product two days ago. It was a new phone no doubt of it I have checked online. But I had a problem with this phone it gets too hot on the right side of the phone. It may be a hardware problem. Otherwise the phone is okay...
60,"Speech volume is very low,making it difficult to hear clearly for both incoming and outgoing calls.The battery also seem to be used one as it discharges very rapidly.Pl arrange for necessary check up of the set at Kolkata,somewhere near Salt Lake."
61,I was supplied a Jailbroke device (couldn't upgrade and just went dead) - couldn't believe it was monitored and supplied through Amazon.
62,Nice product as advertised
63,The I Phone 4s cannot connect with other devices via bluetooth...nor can files be transferred to and from it using the data cable...also the voice of the caller can be heard very faintly during calls although the volume is set to the maximum..
64,Gifted this to my girl.Super Phone got it at a cheap price of INR 16700! Worth the price for sure..
65,"I think this phone did not come with IOS7. But my phone has IOS7 and it is not powerful enough to make the phone sing with IOS7. Unlike Macs, the phones cannot be downgraded to older systems. So I am stuck with an unresponsive phone. What a pity."
